Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class

406.0,-2.3122265423262998,1.9519920106415802,-1.6098507322976898,3.9979055875468,-0.522187864667764,-1.4265453192059498,-2.5373873062457903,1.39165724829804,-2.77008927719433,-2.7722721446591496,3.20203320709635,-2.89990738849473,-0.595221881324605,-4.28925378244217,0.38972412027448705,-1.14074717980657,-2.83005567450437,-0.0168224681808257,0.4169557050379071,0.126910559061474,0.517232370861764,-0.0350493686052974,-0.46521107618238794,0.320198198514526,0.0445191674731724,0.177839798284401,0.26114500256767703,-0.143275874698919,0.0,1

472.0,-3.0435406239976,-3.1573071209022796,1.08846277997285,2.2886436183814,1.35980512966107,-1.06482252298131,0.325574266158614,-0.0677936531906277,-0.270952836226548,-0.838586564582682,-0.41457544828572496,-0.503140859566824,0.6765015446358629,-1.6920289330590599,2.00063483909015,0.6667796959019661,0.599717413841732,1.7253210074551397,0.283344830149495,2.10233879259444,0.661695924845707,0.435477208966341,1.3759657425430603,-0.29380315273402097,0.279798031841214,-0.145361714815161,-0.252773122530705,0.0357642251788156,529.0,1

4462.0,-2.3033495675855296,1.7592474602669999,-0.35974474333005196,2.33024305053917,-0.8216283283754221,-0.0757875706194599,0.562319782266954,-0.399146578487216,-0.23825336766174599,-1.52541162656194,2.03291215755072,-6.56012429505962,0.0229373234890961,-1.47010153611197,-0.698826068579047,-2.2821938285625096,-4.78183085597533,-2.61566494476124,-1.33444106667307,-0.43002186717161106,-0.294166317554753,-0.9323910572749909,0.172726295799422,-0.0873295379700724,-0.15611426465117198,-0.542627889040196,0.0395659889264757,-0.153028796529788,239.93,1

6986.0,-4.39797444171999,1.3583670283975802,-2.5928442182572997,2.67978696694832,-1.12813094208956,-1.70653638774951,-3.49619729302467,-0.248777743025673,-0.24776789948007996,-4.80163740602813,4.895844223475231,-10.912819319401901,0.18437168583438698,-6.77109672468083,-0.00732618257771211,-7.358083221323461,-12.5984185405511,-5.13154862842983,0.30833394575869105,-0.17160787864795998,0.573574068424352,0.17696771804819503,-0.436206883597401,-0.0535018648884285,0.252405261951833,-0.657487754764504,-0.827135714578603,0.8495733799857679,59.0,1

7519.0,1.2342350461346798,3.0197404207033998,-4.304596884796649,4.73279513041887,3.62420083055386,-1.35774566315358,1.7134449878723501,-0.496358487073991,-1.28285782036322,-2.44746925511151,2.10134386504854,-4.6096283906446,1.4643776247618798,-6.0793371930800495,-0.3392373727325769,2.58185095378146,6.7393843847833494,3.0424931783041096,-2.72185312222835,0.00906083639534526,-0.37906830709218003,-0.704181032215427,-0.656804756348389,-1.63265295692929,1.4889014483823702,0.5667972734689339,-0.0100162234965625,0.14679273491698802,1.0,1
